WARNING 2025-09-09 21:24:26,641 middleware 7260 15128 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-09-09 21:24:26,690 middleware 7260 15128 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-09-09 21:26:43,216 middleware 9944 3496 High query count: GET /dealer/reports/stock/ executed 30 queries in 0.03s
WARNING 2025-10-17 09:14:36,934 middleware 11276 4152 Slow request: POST /login/ took 1.09s with 1 queries
WARNING 2025-10-17 09:14:45,057 middleware 11276 4152 Slow request: POST /login/ took 2.15s with 7 queries
WARNING 2025-11-05 13:21:33,594 middleware 17600 7548 Slow request: POST /login/ took 1.06s with 1 queries
WARNING 2025-11-05 13:21:40,115 middleware 17600 14796 Slow request: POST /login/ took 1.21s with 1 queries
WARNING 2025-11-05 13:21:48,702 middleware 17600 22872 Slow request: POST /login/ took 1.22s with 1 queries
WARNING 2025-11-05 13:28:19,228 middleware 19032 2592 Slow request: POST /login/ took 1.47s with 7 queries
WARNING 2025-11-05 13:28:31,256 middleware 19032 17544 High query count: GET /dealer/reports/stock/ executed 26 queries in 0.25s
WARNING 2025-11-05 13:30:57,523 middleware 19032 14568 High query count: GET /dealer/reports/stock/ executed 26 queries in 0.17s
WARNING 2025-11-05 13:39:53,705 middleware 11516 8048 Slow request: GET /dealer/staff/create/ took 1.15s with 2 queries
WARNING 2025-11-27 20:48:04,006 middleware 11400 4144 Slow request: POST /login/ took 1.08s with 1 queries
WARNING 2025-11-27 20:48:14,070 middleware 11400 4144 Slow request: POST /login/ took 2.91s with 8 queries
WARNING 2025-11-27 20:50:00,592 middleware 11400 8932 Slow request: POST /login/ took 2.89s with 8 queries
WARNING 2025-11-27 21:38:47,881 middleware 17988 16872 Slow request: POST /dealer/cashiers/create/ took 1.14s with 7 queries
WARNING 2025-11-27 21:39:23,689 middleware 17988 16872 Slow request: POST /login/ took 2.14s with 7 queries
WARNING 2025-11-27 21:43:00,803 middleware 8696 18404 High query count: GET /dealer/dashboard/ executed 55 queries in 0.33s
WARNING 2025-11-27 23:30:13,034 middleware 16544 15604 Slow request: POST /login/ took 2.20s with 7 queries
WARNING 2025-11-27 23:32:07,247 middleware 16544 6664 Slow request: POST /login/ took 2.23s with 7 queries
WARNING 2025-11-28 00:02:24,443 middleware 6224 19052 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.04s
WARNING 2025-11-28 00:09:58,128 middleware 6224 5868 High query count: GET /dealer/reports/sales/ executed 11 queries in 0.01s
WARNING 2025-11-28 00:10:18,934 middleware 6224 5868 High query count: GET /dealer/reports/ executed 11 queries in 0.05s
WARNING 2025-11-28 00:10:34,807 middleware 6224 5868 High query count: GET /dealer/cashiers/reports/ executed 18 queries in 0.19s
WARNING 2025-11-28 00:11:06,949 middleware 6224 5868 High query count: GET /dealer/cashiers/reports/ executed 16 queries in 0.02s
WARNING 2025-11-28 00:11:15,589 middleware 6224 5868 High query count: GET /dealer/cashiers/reports/ executed 16 queries in 0.02s
WARNING 2025-11-28 00:11:16,921 middleware 6224 5868 High query count: GET /dealer/cashiers/reports/ executed 16 queries in 0.02s
WARNING 2025-11-28 00:11:17,891 middleware 6224 5868 High query count: GET /dealer/cashiers/reports/ executed 52 queries in 0.04s
WARNING 2025-11-28 00:14:06,481 middleware 6224 16304 High query count: GET /cashier/orders/ executed 35 queries in 0.22s
WARNING 2025-11-28 00:29:19,936 middleware 2220 18620 High query count: GET /cashier/reports/daily/ executed 15 queries in 0.02s
WARNING 2025-11-28 00:29:35,232 middleware 2220 18620 High query count: GET /cashier/reports/daily/ executed 15 queries in 0.02s
WARNING 2025-11-28 00:29:38,575 middleware 2220 18620 High query count: GET /cashier/reports/monthly/ executed 47 queries in 0.04s
WARNING 2025-11-28 00:29:45,042 middleware 2220 18620 High query count: GET /cashier/reports/daily/ executed 15 queries in 0.02s
WARNING 2025-11-28 00:29:59,131 middleware 2220 18620 High query count: GET /cashier/reports/monthly/ executed 47 queries in 0.04s
WARNING 2025-11-28 00:47:17,492 middleware 2220 1556 High query count: GET /dealer/reports/ executed 11 queries in 0.04s
WARNING 2025-11-28 11:50:04,545 middleware 15452 24136 Slow request: POST /login/ took 1.98s with 1 queries
WARNING 2025-11-28 11:50:16,355 middleware 15452 24136 Slow request: POST /login/ took 3.24s with 7 queries
WARNING 2025-11-28 11:50:17,465 middleware 15452 24136 Slow request: GET /customer/dashboard/ took 1.04s with 4 queries
WARNING 2025-11-28 11:50:24,909 middleware 15452 23348 High query count: GET /cashier/reports/daily/ executed 12 queries in 0.26s
WARNING 2025-11-28 11:50:26,548 middleware 15452 23348 High query count: GET /cashier/reports/monthly/ executed 47 queries in 0.16s
WARNING 2025-11-28 11:50:59,852 middleware 15452 9364 Slow request: POST /login/ took 2.67s with 7 queries
WARNING 2025-11-28 12:02:35,896 middleware 19632 5664 High query count: GET /cashier/reports/daily/ executed 13 queries in 0.07s
WARNING 2025-11-28 12:02:45,766 middleware 19632 5664 High query count: GET /cashier/reports/monthly/ executed 49 queries in 0.16s
WARNING 2025-11-28 12:07:55,605 middleware 26024 23920 High query count: GET /cashier/reports/monthly/ executed 49 queries in 0.21s
WARNING 2025-11-28 12:22:33,022 middleware 17984 16696 High query count: GET /cashier/reports/daily/ executed 13 queries in 0.08s
WARNING 2025-11-28 12:34:44,700 middleware 16516 27064 High query count: GET /cashier/reports/daily/ executed 13 queries in 0.07s
WARNING 2025-11-28 12:39:09,462 middleware 11548 15300 Slow request: POST /login/ took 2.74s with 7 queries
